,id,x,y,endX,endY,teamId,playerId,eventType,outcomeType,minute
87,2610514593.0,85.4,77.3,90.2,76.0,32,300299.0,Pass,Unsuccessful,4
90,2610514937.0,14.6,23.0,15.2,22.6,167,313171.0,Pass,Unsuccessful,4
93,2610515555.0,7.3,14.2,50.5,44.8,167,121774.0,Pass,Unsuccessful,5
95,2610515611.0,51.9,54.8,78.0,52.4,32,99487.0,Pass,Unsuccessful,5
98,2610515619.0,21.2,53.9,30.5,70.6,167,313171.0,Pass,Unsuccessful,5
99,2610515709.0,71.0,30.1,55.7,34.4,32,123761.0,Pass,Successful,5
100,2610515733.0,55.7,34.4,61.7,37.3,32,99487.0,Pass,Successful,5
101,2610515761.0,62.3,33.6,59.8,12.5,32,69344.0,Pass,Successful,5
102,2610515829.0,57.4,12.5,42.2,29.1,32,353418.0,Pass,Successful,5
103,2610515875.0,42.8,29.5,38.2,46.0,32,99487.0,Pass,Successful,5
104,2610515939.0,37.0,43.1,29.9,21.6,32,22079.0,Pass,Successful,5
105,2610516011.0,28.7,21.4,14.9,43.1,32,99487.0,Pass,Successful,5
106,2610516033.0,18.1,42.8,21.4,26.6,32,260843.0,Pass,Successful,5
107,2610516155.0,20.9,29.4,14.1,53.3,32,99487.0,Pass,Successful,6
108,2610516207.0,14.6,51.3,53.8,49.2,32,260843.0,Pass,Successful,6
109,2610516231.0,53.8,49.2,47.6,45.4,32,439584.0,Pass,Successful,6
110,2610516257.0,47.6,45.4,45.8,42.2,32,336915.0,Pass,Successful,6
111,2610516285.0,45.8,42.2,48.4,41.5,32,123761.0,Pass,Successful,6
112,2610516391.0,52.0,31.7,46.3,12.8,32,336915.0,Pass,Successful,6
113,2610516447.0,47.1,9.4,29.9,31.8,32,353418.0,Pass,Successful,6
114,2610516521.0,27.2,33.2,19.5,48.7,32,99487.0,Pass,Successful,6
115,2610516535.0,19.6,48.7,23.5,67.6,32,260843.0,Pass,Successful,6
116,2610516563.0,23.5,67.6,13.3,61.8,32,22079.0,Pass,Successful,6
117,2610516635.0,12.7,63.8,15.8,99.7,32,260843.0,Pass,Successful,6
118,2610516679.0,8.2,97.3,1.7,86.0,32,100008.0,Pass,Successful,6
119,2610516719.0,1.7,86.0,43.6,81.9,32,260843.0,Pass,Unsuccessful,6
120,2610516735.0,58.0,16.2,65.3,28.6,167,303139.0,Pass,Unsuccessful,6
